scenario,qid_columns,records_with_person,unique_persons,qid_groups,median_k_records,mean_k_records,pct_records_k1,pct_records_k_le_5,pct_records_k_le_10,median_person_l_diversity,mean_person_l_diversity,pct_records_person_l1,h_person_bits,h_person_given_q_bits,i_struct_empirical_bits,effective_person_candidates,map_reid_accuracy,fano_error_lb_uniform,control_type,threshold_persons,release_guidance,delta_k1_vs_topic_only_pp,delta_map_vs_topic_only_pp,delta_i_bits_vs_topic_only,address_id_k2_retained_record_pct,address_id_k2_retained_distinct_pct,text_place_id_k2_retained_record_pct,text_place_id_k2_retained_distinct_pct,text_subject_id_k2_retained_record_pct,text_subject_id_k2_retained_distinct_pct,address_id_k5_retained_record_pct,address_id_k5_retained_distinct_pct,text_place_id_k5_retained_record_pct,text_place_id_k5_retained_distinct_pct,text_subject_id_k5_retained_record_pct,text_subject_id_k5_retained_distinct_pct,address_id_k10_retained_record_pct,address_id_k10_retained_distinct_pct,text_place_id_k10_retained_record_pct,text_place_id_k10_retained_distinct_pct,text_subject_id_k10_retained_record_pct,text_subject_id_k10_retained_distinct_pct,address_id_k20_retained_record_pct,address_id_k20_retained_distinct_pct,text_place_id_k20_retained_record_pct,text_place_id_k20_retained_distinct_pct,text_subject_id_k20_retained_record_pct,text_subject_id_k20_retained_distinct_pct,address_id_k50_retained_record_pct,address_id_k50_retained_distinct_pct,text_place_id_k50_retained_record_pct,text_place_id_k50_retained_distinct_pct,text_subject_id_k50_retained_record_pct,text_subject_id_k50_retained_distinct_pct
topic_only,区县地址 + 街道地址 + week_start + mapped_l2_name,341,143,282,1.0,1.3812316715542523,0.6715542521994134,1.0,1.0,1.0,1.3753665689149561,0.6774193548387096,6.684661199457825,0.35345843112311076,6.331202768334714,1.277619671434607,0.8299120234604106,0.0,baseline,0,minimum structural release baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raw_text_place_id,区县地址 + 街道地址 + week_start + mapped_l2_name + text_place_id,341,143,341,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.684661199457825,0.0,6.684661199457825,1.0,1.0,0.0,raw_or_generalized,0,raw relation key; unsafe,32.84457478005866,17.00879765395894,0.3534584311231104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raw_address_id,区县地址 + 街道地址 + week_start + mapped_l2_name + address_id,341,143,341,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.684661199457825,0.0,6.684661199457825,1.0,1.0,0.0,raw_or_generalized,0,raw stable address key; unsafe,32.84457478005866,17.00879765395894,0.3534584311231104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raw_relation_keys,区县地址 + 街道地址 + week_start + mapped_l2_name + address_id + text_place_id,341,143,341,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.684661199457825,0.0,6.684661199457825,1.0,1.0,0.0,raw_or_generalized,0,raw combined relation keys; unsafe,32.84457478005866,17.00879765395894,0.3534584311231104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
text_place_type_only,区县地址 + 街道地址 + week_start + mapped_l2_name + text_place_type,341,143,327,1.0,1.093841642228739,0.9237536656891495,1.0,1.0,1.0,1.093841642228739,0.9237536656891495,6.684661199457825,0.08653892963145728,6.5981222698263675,1.0618197856755924,0.9589442815249267,0.0,raw_or_generalized,0,generalize text place key to type,25.219941348973606,12.903225806451612,0.2669195014916532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
text_subject_type_only,区县地址 + 街道地址 + week_start + mapped_l2_name + text_subject_type,341,143,328,1.0,1.0762463343108504,0.9237536656891495,1.0,1.0,1.0,1.0762463343108504,0.9237536656891495,6.684661199457825,0.07624633431085044,6.608414865146974,1.054271420480775,0.9618768328445748,0.0,raw_or_generalized,0,generalize text subject key to type,25.219941348973606,13.196480938416421,0.27721209681226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
place_subject_types_only,区县地址 + 街道地址 + week_start + mapped_l2_name + text_place_type + text_subject_type,341,143,338,1.0,1.0175953079178885,0.9824046920821115,1.0,1.0,1.0,1.0175953079178885,0.9824046920821115,6.684661199457825,0.01759530791788856,6.667065891539936,1.012270814244494,0.9912023460410557,0.0,raw_or_generalized,0,generalize text relation keys to coarse types,31.0850439882698,16.129032258064512,0.3358631232052218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
presence_flags_only,区县地址 + 街道地址 + week_start + mapped_l2_name + has_address_id + has_text_place_id + has_text_subject_id,341,143,305,1.0,1.2228739002932552,0.7947214076246334,1.0,1.0,1.0,1.217008797653959,0.8005865102639296,6.684661199457825,0.20970608505667712,6.474955114401148,1.1564525600870001,0.8973607038123167,0.0,raw_or_generalized,0,release only whether a relation key exists,12.316715542521994,6.74486803519061,0.1437523460664334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
address_id_k2,区县地址 + 街道地址 + week_start + mapped_l2_name + address_id_k2,341,143,341,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.684661199457825,0.0,6.684661199457825,1.0,1.0,0.0,threshold_suppression,2,threshold-suppress address keys below person-diversity k,32.84457478005866,17.00879765395894,0.3534584311231104,0.86,0.7232142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,
text_place_id_k2,区县地址 + 街道地址 + week_start + mapped_l2_name + text_place_id_k2,341,143,335,1.0,1.035190615835777,0.9648093841642229,1.0,1.0,1.0,1.035190615835777,0.9648093841642229,6.684661199457825,0.03519061583577713,6.649470583622048,1.0246922013712108,0.9824046920821115,0.0,threshold_suppression,2,threshold-suppress text place keys below person-diversity k,29.325513196480944,15.249266862170085,0.3182678152873333,,,0.6925,0.5609756097560976,,,,,,,,,,,,,,,,,,,,,,,,,,
text_subject_id_k2,区县地址 + 街道地址 + week_start + mapped_l2_name + text_subject_id_k2,341,143,334,1.0,1.0410557184750733,0.9589442815249267,1.0,1.0,1.0,1.0410557184750733,0.9589442815249267,6.684661199457825,0.04105571847507332,6.643605480982751,1.028866443084062,0.9794721407624634,0.0,threshold_suppression,2,threshold-suppress text subject keys below person-diversity k,28.739002932551326,14.956011730205276,0.3124027126480371,,,,,0.6725,0.664179104477612,,,,,,,,,,,,,,,,,,,,,,,,
relation_keys_k2,区县地址 + 街道地址 + week_start + mapped_l2_name + address_id_k2 + text_place_id_k2,341,143,341,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.684661199457825,0.0,6.684661199457825,1.0,1.0,0.0,threshold_suppression,2,threshold-suppress both address and text-place keys below person-diversity k,32.84457478005866,17.00879765395894,0.3534584311231104,0.86,0.7232142857142857,0.6925,0.5609756097560976,,,,,,,,,,,,,,,,,,,,,,,,,,
address_id_k5,区县地址 + 街道地址 + week_start + mapped_l2_name + address_id_k5,341,143,320,1.0,1.1290322580645162,0.8797653958944281,1.0,1.0,1.0,1.1290322580645162,0.8797653958944281,6.684661199457825,0.12538090176587524,6.5592802976919495,1.090795687602481,0.9384164222873901,0.0,threshold_suppression,5,threshold-suppress address keys below person-diversity k,20.82111436950147,10.850439882697948,0.22807752935723524,,,,,,,0.3475,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,
text_place_id_k5,区县地址 + 街道地址 + week_start + mapped_l2_name + text_place_id_k5,341,143,287,1.0,1.346041055718475,0.6979472140762464,1.0,1.0,1.0,1.3401759530791788,0.7038123167155426,6.684661199457825,0.3219191715859745,6.3627420278718505,1.2499922685724123,0.844574780058651,0.0,threshold_suppression,5,threshold-suppress text place keys below person-diversity k,2.639296187683293,1.4662756598240456,0.03153925953713621,,,,,,,,,0.0725,0.03048780487804878,,,,,,,,,,,,,,,,,,,,
text_subject_id_k5,区县地址 + 街道地址 + week_start + mapped_l2_name + text_subject_id_k5,341,143,292,1.0,1.310850439882698,0.7243401759530792,1.0,1.0,1.0,1.3049853372434017,0.7302052785923754,6.684661199457825,0.29037991204883823,6.394281287408987,1.2229622840233316,0.8592375366568915,0.0,threshold_suppression,5,threshold-suppress text subject keys below person-diversity k,5.278592375366575,2.9325513196480912,0.06307851907427242,,,,,,,,,,,0.0575,0.029850746268656716,,,,,,,,,,,,,,,,,,
relation_keys_k5,区县地址 + 街道地址 + week_start + mapped_l2_name + address_id_k5 + text_place_id_k5,341,143,321,1.0,1.1231671554252198,0.8856304985337243,1.0,1.0,1.0,1.1231671554252198,0.8856304985337243,6.684661199457825,0.11951579912657906,6.565145400331246,1.086370191086393,0.9413489736070382,0.0,threshold_suppression,5,threshold-suppress both address and text-place keys below person-diversity k,21.407624633431087,11.143695014662757,0.23394263199653142,,,,,,,0.3475,0.14285714285714285,0.0725,0.03048780487804878,,,,,,,,,,,,,,,,,,,,
