policy,qid_columns,records_with_person,unique_persons,qid_groups,median_k_records,mean_k_records,pct_records_k1,pct_records_k_le_5,pct_records_k_le_10,median_person_l_diversity,mean_person_l_diversity,pct_records_person_l1,h_person_bits,h_person_given_q_bits,i_struct_empirical_bits,effective_person_candidates,map_reid_accuracy,random_within_qid_accuracy,fano_error_lb_uniform,family,suppression_threshold_persons,retained_all_records_pct,retained_person_records_pct,risk_band,address_detail_retained_pct,text_place_detail_retained_pct,relation_key_detail_retained_proxy_pct
global,<none>,341,143,1,341.0,341.0,0.0,0.0,0.0,143.0,143.0,0.0,6.684661199457825,6.684661199457825,0.0,102.86876641707327,0.05571847507331378,0.006993006993006994,0.8603326857476807,recoding,0,100.0,100.0,low-to-moderate,0.0,0.0,0.0
district_month_l1,区县地址 + month_start + mapped_l1_name,341,143,36,10.0,10.870967741935484,0.0,0.06744868035190615,0.5190615835777126,10.0,10.357771260997067,0.0,6.684661199457825,3.2512275785638307,3.433433620893994,9.521755465496032,0.15249266862170088,0.1109513840193502,0.38079423325380113,recoding,0,100.0,100.0,low-to-moderate,0.0,0.0,0.0
district_week_l1,区县地址 + week_start + mapped_l1_name,341,143,121,3.0,3.5865102639296187,0.06158357771260997,0.841642228739003,1.0,3.0,3.5073313782991202,0.06744868035190615,6.684661199457825,1.650018864538143,5.034642334919681,3.1383774284325985,0.3724340175953079,0.3615347018572825,0.1571577126084236,recoding,0,100.0,100.0,moderate,0.0,0.0,0.0
street_month_l1,区县地址 + 街道地址 + month_start + mapped_l1_name,341,143,103,4.0,4.231671554252199,0.03225806451612903,0.7390029325513197,1.0,4.0,4.158357771260997,0.03225806451612903,6.684661199457825,1.8877900824358231,4.796871117022001,3.700679210206975,0.31671554252199413,0.3065738025415444,0.19036658001869555,recoding,0,100.0,100.0,moderate,0.0,0.0,0.0
street_month_l2,区县地址 + 街道地址 + month_start + mapped_l2_name,341,143,170,2.0,2.5073313782991202,0.187683284457478,0.9824046920821115,1.0,2.0,2.4809384164222874,0.19941348973607037,6.684661199457825,1.157360391593104,5.52730080786472,2.23048955400931,0.5073313782991202,0.5051319648093842,0.08834942684854119,recoding,0,100.0,100.0,high,0.0,0.0,0.0
street_week_l1,区县地址 + 街道地址 + week_start + mapped_l1_name,341,143,228,2.0,1.8856304985337244,0.4252199413489736,1.0,1.0,2.0,1.8563049853372433,0.4310850439882698,6.684661199457825,0.7230745602061244,5.9615866392517,1.6506961247719376,0.6774193548387096,0.6735092864125123,0.027693891160886164,recoding,0,100.0,100.0,critical,0.0,0.0,0.0
street_week_l2,区县地址 + 街道地址 + week_start + mapped_l2_name,341,143,282,1.0,1.3812316715542523,0.6715542521994134,1.0,1.0,1.0,1.3753665689149561,0.6774193548387096,6.684661199457825,0.35345843112311076,6.331202768334714,1.277619671434607,0.8299120234604106,0.8299120234604106,0.0,recoding,0,100.0,100.0,critical,0.0,0.0,0.0
street_week_l2_solved,区县地址 + 街道地址 + week_start + mapped_l2_name + 问题是否解决,341,143,311,1.0,1.1935483870967742,0.8328445747800587,1.0,1.0,1.0,1.1935483870967742,0.8328445747800587,6.684661199457825,0.1825943182008516,6.502066881256973,1.1349229201296196,0.9120234604105572,0.9120234604105572,0.0,recoding,0,100.0,100.0,critical,0.0,0.0,0.0
street_week_l2_presence_flags,区县地址 + 街道地址 + week_start + mapped_l2_name + has_address_id + has_text_place_id,341,143,296,1.0,1.2932551319648093,0.750733137829912,1.0,1.0,1.0,1.2873900293255132,0.7565982404692082,6.684661199457825,0.26913324783230885,6.415527951625516,1.2050836118103503,0.8709677419354839,0.8709677419354839,0.0,coarse_relation_generalization,0,100.0,100.0,critical,0.0,0.0,0.0
street_week_l2_place_type,区县地址 + 街道地址 + week_start + mapped_l2_name + text_place_type,341,143,327,1.0,1.093841642228739,0.9237536656891495,1.0,1.0,1.0,1.093841642228739,0.9237536656891495,6.684661199457825,0.08653892963145728,6.5981222698263675,1.0618197856755924,0.9589442815249267,0.9589442815249267,0.0,coarse_relation_generalization,0,100.0,100.0,critical,0.0,0.0,0.0
street_week_l2_raw_relation_keys,区县地址 + 街道地址 + week_start + mapped_l2_name + address_id + text_place_id,341,143,341,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.684661199457825,0.0,6.684661199457825,1.0,1.0,1.0,0.0,unsafe_raw_relation_keys,0,100.0,100.0,critical,95.75,91.5,93.625
