scenario,scenario_type,auxiliary_fields,aux_persons,matched_aux_persons,match_coverage,target_still_candidate_coverage,pct_unique_candidate_person,pct_candidate_persons_le_5,median_candidate_persons,mean_candidate_persons,median_candidate_records,mean_candidate_records,map_top_person_success,random_within_candidates_success,seed
street_week_l2_relation_keys,exact_auxiliary__leave_one_ticket_out_repeated,区县地址 + 街道地址 + week_start + mapped_l2_name + address_id + text_place_id,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260500
degraded_month_relation_keys,degraded_auxiliary__leave_one_ticket_out_repeated,区县地址 + 街道地址 + month_start + mapped_l2_name + address_id + text_place_id,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260500
street_week_l2_relation_keys,exact_auxiliary__leave_one_ticket_out_repeated,区县地址 + 街道地址 + week_start + mapped_l2_name + address_id + text_place_id,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260501
degraded_month_relation_keys,degraded_auxiliary__leave_one_ticket_out_repeated,区县地址 + 街道地址 + month_start + mapped_l2_name + address_id + text_place_id,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260501
street_week_l2_relation_keys,exact_auxiliary__leave_one_ticket_out_repeated,区县地址 + 街道地址 + week_start + mapped_l2_name + address_id + text_place_id,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260502
degraded_month_relation_keys,degraded_auxiliary__leave_one_ticket_out_repeated,区县地址 + 街道地址 + month_start + mapped_l2_name + address_id + text_place_id,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260502
street_week_l2_relation_keys,exact_auxiliary__leave_one_ticket_out_repeated,区县地址 + 街道地址 + week_start + mapped_l2_name + address_id + text_place_id,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260503
degraded_month_relation_keys,degraded_auxiliary__leave_one_ticket_out_repeated,区县地址 + 街道地址 + month_start + mapped_l2_name + address_id + text_place_id,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260503
street_week_l2_relation_keys,exact_auxiliary__leave_one_ticket_out_repeated,区县地址 + 街道地址 + week_start + mapped_l2_name + address_id + text_place_id,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260504
degraded_month_relation_keys,degraded_auxiliary__leave_one_ticket_out_repeated,区县地址 + 街道地址 + month_start + mapped_l2_name + address_id + text_place_id,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260504
