scenario,scenario_type,auxiliary_fields,aux_persons,matched_aux_persons,match_coverage,pct_unique_candidate_person,pct_candidate_persons_le_5,median_candidate_persons,mean_candidate_persons,median_candidate_records,mean_candidate_records,map_top_person_success,random_within_candidates_success,target_still_candidate_coverage
street_topic_no_week,exact_auxiliary__same_row_included,区县地址 + 街道地址 + mapped_l2_name,143,143,1.0,0.013986013986013986,0.5734265734265734,5.0,5.356643356643357,5.0,5.4825174825174825,0.25874125874125875,0.22466977466977464,1.0
street_topic_no_week,exact_auxiliary__leave_one_ticket_out_all,区县地址 + 街道地址 + mapped_l2_name,143,141,0.986013986013986,0.05673758865248227,0.7446808510638298,4.0,4.439716312056738,4.0,4.546099290780142,0.02127659574468085,0.004964539007092198,0.02127659574468085
street_topic_no_week,exact_auxiliary__leave_one_ticket_out_repeated,区县地址 + 街道地址 + mapped_l2_name,75,73,0.9733333333333334,0.0410958904109589,0.7397260273972602,4.0,4.4520547945205475,4.0,4.5479452054794525,0.0410958904109589,0.00958904109589041,0.0410958904109589
street_week_l1,exact_auxiliary__same_row_included,区县地址 + 街道地址 + week_start + mapped_l1_name,143,143,1.0,0.3986013986013986,1.0,2.0,1.8601398601398602,2.0,1.867132867132867,0.6783216783216783,0.6620046620046619,1.0
street_week_l1,exact_auxiliary__leave_one_ticket_out_all,区县地址 + 街道地址 + week_start + mapped_l1_name,143,86,0.6013986013986014,0.686046511627907,1.0,1.0,1.430232558139535,1.0,1.441860465116279,0.0,0.0,0.0
street_week_l1,exact_auxiliary__leave_one_ticket_out_repeated,区县地址 + 街道地址 + week_start + mapped_l1_name,75,44,0.5866666666666667,0.7045454545454546,1.0,1.0,1.4318181818181819,1.0,1.4318181818181819,0.0,0.0,0.0
street_week_l2,exact_auxiliary__same_row_included,区县地址 + 街道地址 + week_start + mapped_l2_name,143,143,1.0,0.6923076923076923,1.0,1.0,1.3426573426573427,1.0,1.3426573426573427,0.8671328671328671,0.8403263403263402,1.0
street_week_l2,exact_auxiliary__leave_one_ticket_out_all,区县地址 + 街道地址 + week_start + mapped_l2_name,143,44,0.3076923076923077,0.8863636363636364,1.0,1.0,1.1136363636363635,1.0,1.1136363636363635,0.0,0.0,0.0
street_week_l2,exact_auxiliary__leave_one_ticket_out_repeated,区县地址 + 街道地址 + week_start + mapped_l2_name,75,20,0.26666666666666666,0.85,1.0,1.0,1.15,1.0,1.15,0.0,0.0,0.0
street_week_l2_process,exact_auxiliary__same_row_included,区县地址 + 街道地址 + week_start + mapped_l2_name + 问题是否解决,143,143,1.0,0.8811188811188811,1.0,1.0,1.132867132867133,1.0,1.132867132867133,0.951048951048951,0.9382284382284384,1.0
street_week_l2_process,exact_auxiliary__leave_one_ticket_out_all,区县地址 + 街道地址 + week_start + mapped_l2_name + 问题是否解决,143,17,0.11888111888111888,0.8823529411764706,1.0,1.0,1.1176470588235294,1.0,1.1176470588235294,0.0,0.0,0.0
street_week_l2_process,exact_auxiliary__leave_one_ticket_out_repeated,区县地址 + 街道地址 + week_start + mapped_l2_name + 问题是否解决,75,8,0.10666666666666667,0.75,1.0,1.0,1.25,1.0,1.25,0.0,0.0,0.0
street_week_l2_place_type,exact_auxiliary__same_row_included,区县地址 + 街道地址 + week_start + mapped_l2_name + text_place_type,143,143,1.0,0.9790209790209791,1.0,1.0,1.027972027972028,1.0,1.027972027972028,0.986013986013986,0.9883449883449884,1.0
street_week_l2_place_type,exact_auxiliary__leave_one_ticket_out_all,区县地址 + 街道地址 + week_start + mapped_l2_name + text_place_type,143,3,0.02097902097902098,0.6666666666666666,1.0,1.0,1.3333333333333333,1.0,1.3333333333333333,0.0,0.0,0.0
street_week_l2_place_type,exact_auxiliary__leave_one_ticket_out_repeated,区县地址 + 街道地址 + week_start + mapped_l2_name + text_place_type,75,1,0.013333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
street_week_l2_subject_type,exact_auxiliary__same_row_included,区县地址 + 街道地址 + week_start + mapped_l2_name + text_subject_type,143,143,1.0,0.9300699300699301,1.0,1.0,1.06993006993007,1.0,1.06993006993007,0.9790209790209791,0.965034965034965,1.0
street_week_l2_subject_type,exact_auxiliary__leave_one_ticket_out_all,区县地址 + 街道地址 + week_start + mapped_l2_name + text_subject_type,143,10,0.06993006993006994,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
street_week_l2_subject_type,exact_auxiliary__leave_one_ticket_out_repeated,区县地址 + 街道地址 + week_start + mapped_l2_name + text_subject_type,75,5,0.06666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
street_week_l2_text_place_id,exact_auxiliary__same_row_included,区县地址 + 街道地址 + week_start + mapped_l2_name + text_place_id,143,143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
street_week_l2_text_place_id,exact_auxiliary__leave_one_ticket_out_all,区县地址 + 街道地址 + week_start + mapped_l2_name + text_place_id,143,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
street_week_l2_text_place_id,exact_auxiliary__leave_one_ticket_out_repeated,区县地址 + 街道地址 + week_start + mapped_l2_name + text_place_id,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
street_week_l2_address_id,exact_auxiliary__same_row_included,区县地址 + 街道地址 + week_start + mapped_l2_name + address_id,143,143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
street_week_l2_address_id,exact_auxiliary__leave_one_ticket_out_all,区县地址 + 街道地址 + week_start + mapped_l2_name + address_id,143,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
street_week_l2_address_id,exact_auxiliary__leave_one_ticket_out_repeated,区县地址 + 街道地址 + week_start + mapped_l2_name + address_id,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
street_week_l2_relation_keys,exact_auxiliary__same_row_included,区县地址 + 街道地址 + week_start + mapped_l2_name + address_id + text_place_id,143,143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
street_week_l2_relation_keys,exact_auxiliary__leave_one_ticket_out_all,区县地址 + 街道地址 + week_start + mapped_l2_name + address_id + text_place_id,143,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
street_week_l2_relation_keys,exact_auxiliary__leave_one_ticket_out_repeated,区县地址 + 街道地址 + week_start + mapped_l2_name + address_id + text_place_id,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
degraded_no_week_text_place_id,degraded_auxiliary__same_row_included,区县地址 + 街道地址 + mapped_l2_name + text_place_id,143,143,1.0,0.916083916083916,1.0,1.0,1.097902097902098,1.0,1.097902097902098,0.972027972027972,0.9557109557109559,1.0
